gene,1054_0003_Control,1054_0004_Control,1054_0005_Control,1054_0006_Control,1054_0014_Control,1054_0020_Control,1054_0021_Control,1054_0022_Control,1054_0025_Control,1054_0027_Control,1054_0028_Control,1068_0002_Control,1068_0003_Control,1068_0004_Control,1068_0005_Control,1068_0012_Control,1068_0013_Control,1068_0018_Control,1068_0019_Control,1068_0020_Control,1068_0023_Control,1068_0024_Control,1068_0025_Control
ENSMUSG00000021552_Gkap1,7.48,10.860000000000001,4.819999999999999,7.78,16.49,14.52,9.9,8.8,5.24,3.72,9.25,12.28,11.8,11.99,18.6,16.610000000000003,12.93,10.4,15.79,18.330000000000002,18.459999999999997,6.930000000000001,11.129999999999999
ENSMUSG00000021555_Naa35,32.42,22.27,19.479999999999997,33.08,24.37,27.29,52.77,11.09,37.39,26.32,39.25,19.54,44.260000000000005,41.89,31.979999999999997,28.27,43.349999999999994,48.06,27.97,34.260000000000005,20.77,34.27,32.47
ENSMUSG00000021556_Golm1,4.48,6.58,0.43000000000000005,4.7700000000000005,2.66,2.3099999999999996,0.91,1.41,1.49,2.53,1.57,1.8,3.05,8.62,1.29,3.09,2.9,0.5,5.609999999999999,3.63,2.9899999999999998,4.25,1.73
ENSMUSG00000021557_Agtpbp1,73.44000000000001,71.77,76.74000000000001,68.74000000000001,89.76,97.81,78.83,58.01,67.78,84.13,73,52.2,51.160000000000004,65.44000000000001,82.96000000000001,52.449999999999996,71.4,63.809999999999995,86.51,113.27,87.38,69.14,81.6
ENSMUSG00000021559_Dapk1,3.94,2.13,3.79,3.61,2.63,3.12,1.51,3.72,3.11,2.3299999999999996,3.6,3.65,4.430000000000001,3.6,4.06,4.6499999999999995,5.07,7.07,6.54,9.1,5.88,2.86,4.84
ENSMUSG00000021567_Nkd2,0.8500000000000001,0,0,0,0,0.08,0,0.23,0.35,0.19,0.26,0.22,1.12,1.95,0.69,3.01,1.35,1.6500000000000001,0.55,2.03,1.41,1.45,0.81
ENSMUSG00000021573_Tppp,45.54,29.919999999999998,34.55,36.290000000000006,26.7,37.15,37.949999999999996,37.33,48.37,30.71,37.03,21.57,15.48,18.08,18.53,19.59,23.79,15.28,18.55,22.54,19.45,24.310000000000002,24.14
ENSMUSG00000021576_Pdcd6,94.56,142.92000000000002,128.91,100.82,107.02,115.61,66.26,134.54,116.23,102.53,93.26,103.44000000000001,150.87,69.28,93.95,102.21000000000001,108.61,41.27,72.2,92.25,95.75,95.82,104.57
ENSMUSG00000021577_Sdha,145.37,126.47,92.01,96.6,97.4,89.58,87.03,97.7,96.6,93.41000000000001,111.7,103.97,71.85,88.75,53.339999999999996,110.11999999999999,106.39,110.5,83.11999999999999,87.55,95.89,92.38,71.74000000000001
ENSMUSG00000021578_Ccdc127,60.33,34.44,34.41,29.759999999999998,35.790000000000006,61.53,12.56,45.36,39.720000000000006,27.18,52.120000000000005,47.59,47.879999999999995,56.58,67.96000000000001,47.47,47.61,31.18,58.660000000000004,48.290000000000006,36.790000000000006,38.39,52.51
ENSMUSG00000021579_Lrrc14b,0.09,0.24000000000000002,0.47000000000000003,0.96,0.77,1.92,0,0,0,0.5700000000000001,0.39,0.4,1.74,1.1400000000000001,0,0,0.61,0,0.8200000000000001,0,0.29000000000000004,1.25,0
ENSMUSG00000021587_Pcsk1,4.21,1.6700000000000002,1.6600000000000001,2.98,2.65,8.26,2.14,1.8,4.6,1.4,5.58,4.88,4.01,6.49,7.01,2.9,2.06,3.64,4.42,2.4299999999999997,1.76,11,6.31
ENSMUSG00000021589_Rhobtb3,1.83,1.95,3.84,1.5,3.05,0.7799999999999999,1.1500000000000001,3.5,1.3800000000000001,0.9400000000000001,1.21,3.46,1.1700000000000002,1.77,3.12,3.03,6.02,4.26,1.74,2.4,2,4.359999999999999,5.94
ENSMUSG00000021591_Glrx,106.96000000000001,160.4,123.78,142.70999999999998,108.35,150.7,130.31,116.51,75.71000000000001,102.77,107.11999999999999,152.70999999999998,101.3,91.11,109.95,84.29,94.36,83.13,82.08,83.92,100.61,120.66999999999999,108.14999999999999
ENSMUSG00000021592_Arsk,0.09,0.42000000000000004,0.28,0.39,1.77,0.17,0.77,0.54,1.58,0.49,0,0.27,0,1.8800000000000001,4.67,0.71,0.76,1.04,0.72,0.71,0.5700000000000001,1.8,0
ENSMUSG00000021594_Srd5a1,2.62,1.61,3.07,2.11,11.42,7.7,0.11,6.2,5.88,0.2,4.26,9.15,5.42,7.38,4.51,2.66,4.5,16.759999999999998,2.6,3.6,3.07,5.24,5.83
ENSMUSG00000021595_Nsun2,27.12,20.47,21.02,26.24,16.3,17.6,7.89,15.61,27.01,20.49,20.49,19.979999999999997,23.979999999999997,34.59,16.47,13.77,27.29,25.85,35.05,30.03,24.35,18.69,27.52
ENSMUSG00000021596_Mctp1,7.819999999999999,5.24,4.33,4.2700000000000005,5.5,5.970000000000001,5.35,12.28,2.32,2.74,5.31,6.33,6.24,9.92,6.41,7.359999999999999,8.62,6.3,10.5,9.639999999999999,6.45,8.76,9.57
ENSMUSG00000021597_Slf1,21.53,15.12,18.68,22.38,24.459999999999997,28.69,20.810000000000002,6.87,14.729999999999999,20.51,15.129999999999999,16.22,16.59,20.14,26.830000000000002,6.79,16.95,12.09,21.51,23.34,23.45,19.5,23.62
ENSMUSG00000021598_Med10,186.42000000000002,161.16,156.82000000000002,169.31,171.33,180.99,187.16,157.76999999999998,118.11,161.02,165.08,156.01,204.02,151.4,134.84,193.56,163.32000000000002,151.46,166.05,163.62,165.44,153.4,181.25
ENSMUSG00000021606_Ndufs6,635.3599999999999,759.6700000000001,706.21,766.99,662.93,813.3199999999999,739.1700000000001,664.9499999999999,831.91,707.64,788.03,598.3299999999999,646.41,660.01,748.4499999999999,613.74,629.74,535.93,618.72,769.26,658.26,642.3,703.13
ENSMUSG00000021607_Mrpl36,174.06,165.10999999999999,127,189.70999999999998,205.7,143.86,130.65,146.15,212.1,155.43,177.10999999999999,184.44,155.23,142.70999999999998,162.09,187.3,156.12,139.49,111.61999999999999,141.8,173.41,154.13,138.33
ENSMUSG00000021608_Lpcat1,12.62,3.2800000000000002,4.91,8.219999999999999,5.51,19.66,4.68,2.84,1.77,4.659999999999999,5.94,4.41,6.2700000000000005,4.28,7.609999999999999,6.39,7.46,7.1899999999999995,13.33,7.6899999999999995,5.08,7.17,8.08
ENSMUSG00000021610_Clptm1l,33.53,35.2,25.419999999999998,29.88,27.19,29.810000000000002,34.91,45.1,24.54,27.73,31.779999999999998,41.25,29.58,33.56,47.5,43.120000000000005,41.220000000000006,39.879999999999995,43.61,49.96,33.839999999999996,41.56,48.96
ENSMUSG00000021613_Hapln1,0.04,0.38,0.35,2.24,0.54,1,0,0,0.32999999999999996,0.9500000000000001,0.62,0.93,1.6500000000000001,0.53,2.21,0,1.11,0.04,0.47000000000000003,1.27,0.55,0.76,0.04
ENSMUSG00000021615_Xrcc4,12.94,20.71,9.57,13.76,18.89,24.66,23.810000000000002,3.3,2.4099999999999997,11.88,2.46,13.07,14.31,18.08,11.56,2.02,16.17,6.859999999999999,17.35,12.05,12.03,19.6,6.45
ENSMUSG00000021619_Atg10,14.17,9.239999999999998,15.54,18.55,8.01,8.46,8.6,4.42,11.43,12.34,10.26,13.88,8.450000000000001,8.32,12.69,15.04,19.959999999999997,18.759999999999998,11.47,15.209999999999999,9.6,12.719999999999999,8.6
ENSMUSG00000021621_Zcchc9,9.52,14.43,12.870000000000001,15.11,16.57,7.1899999999999995,7.470000000000001,15.15,10.05,5.659999999999999,9.129999999999999,23.05,19.330000000000002,10.57,8.38,11.4,15.16,23.22,16.38,11.33,12.48,17.03,13.61
ENSMUSG00000021629_Slc30a5,13.93,7.22,14.99,7.34,6.23,5.89,11.5,4.64,8.870000000000001,6.2,8.76,13.729999999999999,5.1,5.92,8.1,8.739999999999998,9.96,7.71,10.62,12.34,8.32,9.639999999999999,7.109999999999999
ENSMUSG00000021635_Rad17,6.52,7.319999999999999,5.859999999999999,4.71,4.52,3.66,15.350000000000001,3.69,5.71,8.5,3.19,5.26,12.139999999999999,4.37,8.05,2.63,6.21,8.7,6.74,3.7600000000000002,7.470000000000001,10.89,10.07
ENSMUSG00000021639_Gtf2h2,17.279999999999998,24.01,15.12,10.55,11.209999999999999,18.71,12.89,15.57,8.18,18.23,5.79,1.5,19.110000000000003,8.41,10.52,5.17,18.05,27.93,25.74,20.56,17.37,15.03,15.65
ENSMUSG00000021643_Serf1,136.55,145.97,129.99,156.54,155.10999999999999,153.34,112.17999999999999,115.99000000000001,189.3,178.13,122.8,124.4,80.57,88.01,116.5,122.61,118.91000000000001,61.09,90.52,95.48,124.5,108.47,99.35
ENSMUSG00000021645_Smn1,28.6,26.21,32.03,17.03,16.830000000000002,28.479999999999997,8.89,18.71,16.87,22.89,5.01,14.76,25.22,16.810000000000002,5.1,34.1,26.19,18.32,15.38,21.93,23.02,24.71,23.24
ENSMUSG00000021646_Mccc2,2.2800000000000002,4.55,4.6899999999999995,1.76,1.49,7.37,1.31,1.97,0.36,5.319999999999999,3.67,5.01,13.39,3.21,12.11,0,6.79,16.47,6.87,10.3,9.58,8.06,6.79
ENSMUSG00000021647_Cartpt,1.03,0,0.76,1.76,1.6900000000000002,2.64,0.8600000000000001,0,0,0,3.09,9.04,14.92,5.39,10.360000000000001,21.779999999999998,5.7,25.959999999999997,11.1,8.94,24.75,9.67,12.04
ENSMUSG00000021650_Ptcd2,31.52,59.87,36.8,52.3,52.46,33.86,36.06,38.47,39.9,16.09,58.59,38.25,43.37,39.6,31.71,31.8,41.59,34.28,56.839999999999996,28.01,44.77,41.339999999999996,57.6
ENSMUSG00000021660_Btf3,266.38,350.67,296.17,330.71,327.78,308.63,320.05,270.95,334.1,186.59,345.44,318.01,351.45,286.2,237.78,276.21,322.78,264.25,269,292.28999999999996,304,264.21999999999997,316.04
ENSMUSG00000021661_Ankra2,47.68,45.13,37.77,33.09,53.97,45.46,43.93,40.57,56.47,43.96,46.08,58.309999999999995,68.63,57.790000000000006,58.47,61.349999999999994,43.14,72.66,73.05,63.52,46.77,60.339999999999996,46.620000000000005
ENSMUSG00000021662_Arhgef28,10.62,11.239999999999998,7.26,4.38,7.2,8.65,3.9299999999999997,5.07,10.239999999999998,4.430000000000001,10.46,15.62,23.759999999999998,18.87,10.44,18.57,15.19,11.98,20.959999999999997,20.66,18.53,19.939999999999998,19.979999999999997
ENSMUSG00000021665_Hexb,36.71,33.6,19.8,19.35,20.56,27.54,27.830000000000002,17.110000000000003,12.92,39.55,9.2,17.310000000000002,14.03,30.89,25.72,38.6,50.98,39.230000000000004,22.85,17.3,40.68,25.53,22.2
ENSMUSG00000021666_Gfm2,9.58,8.870000000000001,14.88,14.46,11.97,25.3,16.24,13.49,4.34,21.85,10.139999999999999,15.83,13.709999999999999,12.49,19.08,17.32,14.76,16.66,13.96,16.24,8.17,14.99,13.98
ENSMUSG00000021668_Polk,1.5,0.72,2.3899999999999997,2.1,3.62,0.07,0.28,0.44,0.17,1.3800000000000001,2.42,2.29,2.4499999999999997,0.6799999999999999,0.65,0.42000000000000004,1.1500000000000001,2.75,1.7,0.37,0.6699999999999999,0.8700000000000001,0.43000000000000005
